animal_type,primary_color,sex,intake_condition,intake_type,has_name,days_to_adoption,age_at_intake_days,intake_is_weekend,intake_month_sin,intake_month_cos,intake_dayofweek_sin,intake_dayofweek_cos
CAT,GRAY/BLUE/SILVER,SPAYED,UNDER AGE/WEIGHT,STRAY,1,48,3.0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
DOG,BLACK,FEMALE,NORMAL,STRAY,1,10,1461.0,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
CAT,GRAY/BLUE/SILVER,SPAYED,NORMAL,STRAY,1,3,29.0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
CAT,TABBY,FEMALE,NORMAL,STRAY,1,4,29.0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
CAT,TABBY,NEUTERED,NORMAL,RETURN,1,5,144.0,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334
DOG,BLACK,MALE,NORMAL,OWNER SURRENDER,1,18,730.0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
DOG,WHITE/PINK,SPAYED,NORMAL,STRAY,1,12,1095.0,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
CAT,TABBY,SPAYED,FERAL/FRACTIOUS,STRAY,1,15,91.0,1,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146
DOG,BLACK,SPAYED,NORMAL,RETURN,1,18,216.0,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
DOG,MULTI-COLORED,NEUTERED,NORMAL,STRAY,1,6,121.0,0,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419
DOG,BROWN/TAN,NEUTERED,NORMAL,STRAY,1,6,730.0,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
DOG,BLACK,SPAYED,NORMAL,STRAY,1,298,1096.0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
DOG,BLACK,NEUTERED,NORMAL,STRAY,1,108,1826.0,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
DOG,BROWN/TAN,SPAYED,NORMAL,STRAY,1,41,366.0,0,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419
CAT,TABBY,NEUTERED,ILL/INJURED MODERATE,STRAY,1,17,245.0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
CAT,TABBY,SPAYED,NORMAL,OWNER SURRENDER,1,6,737.0,1,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146
CAT,TABBY,NEUTERED,ILL/INJURED MODERATE,STRAY,1,32,31.0,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
CAT,BLACK,NEUTERED,ILL/INJURED MODERATE,STRAY,1,42,31.0,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
CAT,POINT,SPAYED,NORMAL,STRAY,1,5,121.0,0,0.8660254037844387,-0.49999999999999983,-0.433883739117558,-0.9009688679024191
DOG,BROWN/TAN,FEMALE,ILL/INJURED MILD,STRAY,1,6,2186.0,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
CAT,BLACK,MALE,UNDER AGE/WEIGHT,STRAY,1,24,31.0,1,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
CAT,WHITE/PINK,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,178,31.0,1,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
